,costo,dim,gap,heuristica,instancia,tiempo
86,21955.0,175.0,0.025599103097117767,FI,si175,24.2682
87,712.0,70.0,0.054814814814814816,FI,st70,2.33756
88,1406.0,42.0,0.1044776119402985,FI,swiss42,0.544797
89,46811.0,159.0,0.1124287072243346,FI,u159,20.1128
90,7023.0,16.0,0.023910190989940225,FI,ulysses16,0.038201
91,7224.0,22.0,0.03008698132040496,FI,ulysses22,0.153424
92,13926.0,48.0,0.3103123823861498,AGM,att48,0.093604
93,2193.0,29.0,0.362111801242236,AGM,bayg29,0.05029
94,2677.0,29.0,0.32524752475247526,AGM,bays29,0.0503
95,10402.0,52.0,0.379209758684699,AGM,berlin52,0.133266
96,155472.0,127.0,0.31441808559205964,AGM,bier127,0.519681
97,30336.0,58.0,0.1945658594211459,AGM,brazil58,0.116254
98,118860.0,180.0,59.95384615384615,AGM,brg180,0.425379
99,4003.0,14.0,0.2046343665362624,AGM,burma14,0.0277
100,8279.0,130.0,0.35499181669394436,AGM,ch130,0.350175
101,9315.0,150.0,0.42693014705882354,AGM,ch150,0.465814
102,19347.0,198.0,0.22604562737642586,AGM,d198,0.463933
103,916.0,42.0,0.3104434907010014,AGM,dantzig42,0.085079
104,605.0,51.0,0.42018779342723006,AGM,eil51,0.131979
105,731.0,76.0,0.3587360594795539,AGM,eil76,0.175732
106,1136.0,26.0,0.21237993596584845,AGM,fri26,0.020395
107,2352.0,17.0,0.12805755395683452,AGM,gr17,0.020248
108,3738.0,21.0,0.38086442556335426,AGM,gr21,0.028754
109,1641.0,24.0,0.29009433962264153,AGM,gr24,0.026014
110,7187.0,48.0,0.42429647245342844,AGM,gr48,0.117468
111,75225.0,96.0,0.3625495843069065,AGM,gr96,0.220611
112,9919.0,120.0,0.4288389513108614,AGM,gr120,0.401852
113,94463.0,137.0,0.35231128226418335,AGM,gr137,0.302035
114,14905.0,48.0,0.30049733880115176,AGM,hk48,0.119263
115,30516.0,100.0,0.4338877925007048,AGM,kroA100,0.216434
116,28807.0,100.0,0.3010704123571654,AGM,kroB100,0.216924
117,27636.0,100.0,0.3319196105836426,AGM,kroC100,0.370943
118,28599.0,100.0,0.34305438151592,AGM,kroD100,0.37329
119,30964.0,100.0,0.40311763639659237,AGM,kroE100,0.374557
120,38763.0,150.0,0.46143115668828233,AGM,kroA150,0.614138
121,35289.0,150.0,0.3505166475315729,AGM,kroB150,0.461871
122,21167.0,105.0,0.4720773350024341,AGM,lin105,0.197615
