instancia,dim,heuristica,tiempo,costo,gap,iteraciones,memoria,vecindad
bayg29,29,TS-C,74.233,1623,0.008074534161490683,500,500,10
bayg29,29,TS-C,131.413,1634,0.014906832298136646,1000,50,10
bayg29,29,TS-C,132.847,1633,0.014285714285714285,1000,100,10
bayg29,29,TS-C,122.722,1635,0.015527950310559006,1000,200,10
bayg29,29,TS-C,153.29,1633,0.014285714285714285,1000,500,10
bayg29,29,TS-C,152.429,1632,0.013664596273291925,1000,1000,10
bayg29,29,TS-C,16.5909,1638,0.017391304347826087,50,50,20
bayg29,29,TS-C,33.8396,1615,0.003105590062111801,100,50,20
bayg29,29,TS-C,33.5022,1628,0.011180124223602485,100,100,20
bayg29,29,TS-C,56.2328,1620,0.006211180124223602,200,50,20
bayg29,29,TS-C,57.5154,1615,0.003105590062111801,200,100,20
bayg29,29,TS-C,55.0622,1622,0.007453416149068323,200,200,20
bayg29,29,TS-C,94.112,1618,0.004968944099378882,500,50,20
bayg29,29,TS-C,65.2499,1615,0.003105590062111801,500,100,20
bayg29,29,TS-C,71.931,1618,0.004968944099378882,500,200,20
bayg29,29,TS-C,73.2672,1610,0.0,500,500,20
bayg29,29,TS-C,156.137,1610,0.0,1000,50,20
bayg29,29,TS-C,137.615,1615,0.003105590062111801,1000,100,20
bayg29,29,TS-C,153.591,1610,0.0,1000,200,20
bayg29,29,TS-C,145.686,1610,0.0,1000,500,20
bayg29,29,TS-C,142.545,1610,0.0,1000,1000,20
bayg29,29,TS-C,19.1605,1643,0.020496894409937887,50,50,50
bayg29,29,TS-C,37.6171,1628,0.011180124223602485,100,50,50
bayg29,29,TS-C,20.2077,1628,0.011180124223602485,100,100,50
bayg29,29,TS-C,33.1249,1628,0.011180124223602485,200,50,50
bayg29,29,TS-C,38.5979,1610,0.0,200,100,50
bayg29,29,TS-C,62.9932,1610,0.0,200,200,50
bayg29,29,TS-C,102.21,1610,0.0,500,50,50
bayg29,29,TS-C,105.144,1610,0.0,500,100,50
bayg29,29,TS-C,105.754,1610,0.0,500,200,50
bayg29,29,TS-C,105.264,1610,0.0,500,500,50
bayg29,29,TS-C,167.028,1610,0.0,1000,50,50
bayg29,29,TS-C,173.668,1610,0.0,1000,100,50
bayg29,29,TS-C,172.961,1610,0.0,1000,200,50
bayg29,29,TS-C,156.644,1610,0.0,1000,500,50
bayg29,29,TS-C,178.479,1610,0.0,1000,1000,50
bayg29,29,TS-C,19.5318,1643,0.020496894409937887,50,50,80
bayg29,29,TS-C,42.6681,1628,0.011180124223602485,100,50,80
bayg29,29,TS-C,42.6432,1625,0.009316770186335404,100,100,80
bayg29,29,TS-C,46.5244,1610,0.0,200,50,80
bayg29,29,TS-C,64.6859,1628,0.011180124223602485,200,100,80
bayg29,29,TS-C,45.8925,1628,0.011180124223602485,200,200,80
